,MM,MR,MG,MI,MT,MP,MV,RM,RR,RG,RI,RT,RP,RV,GM,GR,GG,GI,GT,GP,GV,IM,IR,IG,II,IT,IP,IV,TM,TR,TG,TI,TT,TP,TV,PM,PR,PG,PI,PT,PP,PV,VM,VR,VG,VI,VT,VP,VV,fn,category
930,297,388,466,562,529,418,1812,100,0,47,56,118,8,154,175,67,56,218,378,41,409,123,140,198,237,681,158,856,165,267,81,936,1823,685,1353,141,390,329,160,667,1666,447,3459,628,578,140,448,630,786,b3392cd774f9ff834aeb742a7a4a40e5.opcodeSeq.txt,0
931,992,1278,1018,2932,1375,1108,7928,488,0,263,100,389,35,454,675,99,166,169,732,52,455,318,626,111,389,1738,266,3019,247,790,261,2211,1489,941,5875,79,1327,239,61,1252,1563,1819,13976,3560,1736,197,2193,1524,5097,b3c7575f237a5ceed88b9a0420c1beb6.opcodeSeq.txt,0
932,85434,6509,3049,8390,21922,5778,27921,1938,0,705,0,65,0,18,2956,132,594,0,61,1,16,11437,228,150,5,209,76,286,10616,33,81,3994,848,711,7086,5510,1282,548,2,106,303,98,28404,4789,1170,0,54,955,752,66461af2d3c3b018adef6dc451e59802.opcodeSeq.txt,0
933,9300,7883,10681,25621,13179,9136,60513,3541,0,2523,736,2915,279,3726,6311,634,1159,1046,4697,322,5267,3586,4940,1086,3865,17955,1417,20629,1767,5820,1195,16331,62560,16990,53325,694,8203,2116,574,19953,10251,12157,111967,21651,12097,2260,18460,10507,28642,11521e42f4ed27605dfab6aab6d7f06e.opcodeSeq.txt,0
934,455,416,448,1243,569,378,3310,141,0,165,71,119,10,167,233,23,57,124,172,10,311,165,220,88,102,855,96,968,61,383,33,664,1115,335,2995,293,508,109,15,519,853,508,5457,906,576,120,1392,821,1684,b92765d38cd1c6f49dfc2da5d857efc2.opcodeSeq.txt,0
935,2479,3304,3442,7172,3312,2812,17478,851,0,1249,144,737,104,1049,1828,183,278,261,1562,139,1656,916,1856,206,969,5115,567,6657,381,2003,569,5683,3288,2598,12939,376,3119,970,141,2725,3164,3224,33278,5555,2782,1100,4710,2713,8371,226ca1802f0ad1811b0a19986cbbfff6.opcodeSeq.txt,0
936,536,117,492,746,740,292,2042,111,0,39,17,98,26,90,346,25,83,135,627,61,168,254,81,53,210,1878,253,623,562,90,63,2076,7692,1111,1911,84,231,497,36,1080,4751,304,3104,484,546,80,1014,362,886,0685192d16888b55e8c581f416dc7e22.opcodeSeq.txt,0
937,3,2,5,7,1,3,30,1,0,0,0,1,0,2,2,0,0,0,1,0,0,0,2,0,4,0,1,5,0,0,0,0,0,0,4,0,0,0,0,1,2,5,45,13,2,0,0,0,16,c9e3af6a4429197c05c18408f9f287ee.opcodeSeq.txt,0
938,659,17,98,119,109,122,1234,45,0,0,1,3,0,16,96,0,0,0,1,0,3,31,5,2,13,13,2,87,38,3,0,14,20,36,155,35,18,2,0,14,25,185,1448,210,62,1,29,28,259,0835840a0dd592d5bb4dbb24c4b5bd0c.opcodeSeq.txt,0
939,630,357,492,1796,609,409,5338,214,0,90,30,198,14,273,475,5,45,46,154,4,299,147,220,34,138,849,71,1610,73,433,38,760,735,300,2953,33,534,63,28,476,1486,823,8118,1693,990,180,1140,606,3021,da8f8d68f6ded154378b25d82234d8a7.opcodeSeq.txt,0
940,9916,4330,9695,17758,7685,4683,42782,2305,0,1172,386,1300,172,1891,5756,299,1195,796,2533,2880,2624,2246,2437,730,2738,8675,864,15376,781,2486,571,7568,13303,3349,26647,3088,4119,1223,564,4260,6497,6120,73070,9149,7704,1741,8833,4928,20386,1e071e3042dceca4a0fa92f3e89c998c.opcodeSeq.txt,0
941,888,604,516,1107,916,482,3465,144,0,73,32,112,15,130,421,36,113,73,164,26,142,198,165,46,186,914,97,1185,334,239,35,1083,1037,362,2637,73,378,150,53,546,885,583,5923,1318,508,164,1050,552,1934,3e30f2644a2e9f1b81f7f5a810e5f6ce.opcodeSeq.txt,0
942,422,271,948,8416,539,516,34202,77,0,188,7,139,8,353,643,17,1127,44,159,9,2195,588,194,53,269,868,88,7642,102,324,52,754,562,119,2394,10,314,37,30,381,337,627,43477,1218,2547,92,960,310,10012,130a8a08dc6ac74fe7f7d70ee3c629b7.opcodeSeq.txt,0
